anio,pais,Remittance inflows (US$ million),aux,TAR (%),GDP (current US$),"Inflation, consumer prices (annual %)",Net migration,Remesa Per Cápita RPC (U$S),IVRTI,IVR-PBI (%)
2021,Mexico,54130.298399,2021Mexico,20.786923081524826,1272838810896.0928,5.68920847683764,52649.0,1.0281353567779066,9514.557010765135,4.252722177829545
2022,Mexico,61099.60791499999,2022Mexico,11.406471749696816,1414187193992.2544,7.89627619168544,,,7737.774924759621,4.320475264842106
2012,China,57986.598422,2012China,-6.190436400280559,8532185615746.62,2.61952432645544,124641.0,0.46522892484816397,22136.308426829335,0.6796218581436219
2013,China,59491.287194,2013China,2.5292590612356927,9570470577244.855,2.62105001748115,137444.0,0.4328401908704636,22697.501687194657,0.6216129783152872
2014,China,62332.342308,2014China,4.55791489426408,10475624783235.588,1.92164162788521,198432.0,0.3141244472060958,32437.02748914609,0.5950226702253794
2015,China,63937.646592,2015China,2.510734081665209,11061573199439.67,1.43702380935655,155379.0,0.4114947746606684,44493.10176748504,0.578015852168648
2016,China,60999.999488,2016China,-4.815814965011424,11233314018690.053,2.00000182191941,153054.0,0.39855214164935254,30499.97195975454,0.5430276353577213
2017,China,63875.674112,2017China,4.501987124171517,12310491176727.342,1.59313600071434,180592.0,0.3537015710108975,40094.300852757726,0.5188718564922516
2018,China,67413.592064,2018China,5.248078085857265,13894907485398.887,2.07479039965578,296674.0,0.22723121023075832,32491.76016776649,0.4851676208340348
2019,China,68398.47511360464,2019China,1.4399196005010748,14279968485747.98,2.89923416358227,302609.0,0.22602921629430928,23591.911261521578,0.47898197521842745
2020,China,59506.67334883603,2020China,-14.942528735632191,14687743556969.611,2.4194218945778,33649.0,1.7684529510189317,24595.409954004823,0.40514510018524247
2021,China,53000.0,2021China,-12.276742167615156,17820459342451.18,0.981015135544851,200194.0,0.26474319909687605,54025.6700224753,0.2974109644510988
2022,China,51000.0,2022China,-3.9215686274509802,17963170521079.832,1.9735755573906,,,25841.42259414208,0.28391424520605285
2012,Philippines,24609.679612744534,2012Philippines,6.322933163771081,261920542606.62112,3.02696391124798,156051.0,0.15770279980739974,8130.152963270139,9.39585699076145
2013,Philippines,26716.84026910559,2013Philippines,7.887012966865326,283902829721.26074,2.58268766141797,199869.0,0.13367175634593453,10344.588185486306,9.410557934676632
2014,Philippines,28690.79789649841,2014Philippines,6.8801071148799755,297483553299.5925,3.5978234386421,237890.0,0.12060531294505196,7974.487460487213,9.644498856581901
2015,Philippines,29799.39569987795,2015Philippines,3.7202022972032296,306445871631.9687,0.674192536845387,-6954.0,-4.285216522846987,44200.1269241458,9.72419551328335
